,Country,Obesity - adult prevalence rate (%),Year
0,Turkey,32,2016
1,Malta,29,2016
2,United Kingdom,28,2016
3,Hungary,26,2016
4,Lithuania,26,2016
5,Czech Republic,26,2016
6,Andorra,26,2016
7,Ireland,25,2016
8,Bulgaria,25,2016
9,Greece,25,2016
10,Belarus,25,2016
11,Croatia,24,2016
12,Ukraine,24,2016
13,Spain,24,2016
14,Latvia,24,2016
15,Montenegro,23,2016
16,Norway,23,2016
17,Poland,23,2016
18,Luxembourg,23,2016
19,Romania,23,2016
20,Macedonia,22,2016
21,Germany,22,2016
22,Finland,22,2016
23,Belgium,22,2016
24,Iceland,22,2016
25,Albania,22,2016
26,France,22,2016
27,Serbia,22,2016
28,Estonia,21,2016
29,Portugal,21,2016
30,Sweden,21,2016
31,Slovakia,21,2016
32,Netherlands,20,2016
33,Slovenia,20,2016
34,Austria,20,2016
35,Italy,20,2016
36,Denmark,20,2016
37,Switzerland,20,2016
38,Moldova,19,2016
39,Bosnia and Herzegovina,18,2016
